,VAR_NAME,VAR_DESCR
0,Times,"<class 'netCDF4.Variable'>
|S1 Times(Time, DateStrLen)
unlimited dimensions: Time
current shape = (1, 19)
filling off"
1,XLAT,"<class 'netCDF4.Variable'>
float32 XLAT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LATITUDE, SOUTH IS NEGATIVE
    units: degree_north
    stagger: 
    coordinates: XLONG XLAT
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
2,XLONG,"<class 'netCDF4.Variable'>
float32 XLONG(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LONGITUDE, WEST IS NEGATIVE
    units: degree_east
    stagger: 
    coordinates: XLONG XLAT
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
3,LU_INDEX,"<class 'netCDF4.Variable'>
float32 LU_INDEX(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LAND USE CATEGORY
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
4,ZNU,"<class 'netCDF4.Variable'>
float32 ZNU(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: eta values on half (mass) levels
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
5,ZNW,"<class 'netCDF4.Variable'>
float32 ZNW(Time, bottom_top_stag)
    FieldType: 104
    MemoryOrder: Z  
    description: eta values on full (w) levels
    units: 
    stagger: Z
unlimited dimensions: Time
current shape = (1, 51)
filling off"
6,ZS,"<class 'netCDF4.Variable'>
float32 ZS(Time, soil_layers_stag)
    FieldType: 104
    MemoryOrder: Z  
    description: DEPTHS OF CENTERS OF SOIL LAYERS
    units: m
    stagger: Z
unlimited dimensions: Time
current shape = (1, 4)
filling off"
7,DZS,"<class 'netCDF4.Variable'>
float32 DZS(Time, soil_layers_stag)
    FieldType: 104
    MemoryOrder: Z  
    description: THICKNESSES OF SOIL LAYERS
    units: m
    stagger: Z
unlimited dimensions: Time
current shape = (1, 4)
filling off"
8,VAR_SSO,"<class 'netCDF4.Variable'>
float32 VAR_SSO(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: variance of subgrid-scale orography
    units: m2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
9,BATHYMETRY_FLAG,"<class 'netCDF4.Variable'>
int32 BATHYMETRY_FLAG(Time)
    FieldType: 106
    MemoryOrder: 0  
    description: Flag for bathymetry in the global attributes for metgrid data
    units: -
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
10,U,"<class 'netCDF4.Variable'>
float32 U(Time, bottom_top, south_north, west_east_stag)
    FieldType: 104
    MemoryOrder: XYZ
    description: x-wind component
    units: m s-1
    stagger: X
    coordinates: XLONG_U XLAT_U XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 559)
filling off"
11,V,"<class 'netCDF4.Variable'>
float32 V(Time, bottom_top, south_north_stag, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: y-wind component
    units: m s-1
    stagger: Y
    coordinates: XLONG_V XLAT_V XTIME
unlimited dimensions: Time
current shape = (1, 50, 703, 558)
filling off"
12,W,"<class 'netCDF4.Variable'>
float32 W(Time, bottom_top_stag, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: z-wind component
    units: m s-1
    stagger: Z
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 51, 702, 558)
filling off"
13,PH,"<class 'netCDF4.Variable'>
float32 PH(Time, bottom_top_stag, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: perturbation geopotential
    units: m2 s-2
    stagger: Z
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 51, 702, 558)
filling off"
14,PHB,"<class 'netCDF4.Variable'>
float32 PHB(Time, bottom_top_stag, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: base-state geopotential
    units: m2 s-2
    stagger: Z
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 51, 702, 558)
filling off"
15,T,"<class 'netCDF4.Variable'>
float32 T(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: perturbation potential temperature theta-t0
    units: K
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
16,THM,"<class 'netCDF4.Variable'>
float32 THM(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: either 1) pert moist pot temp=(1+Rv/Rd Qv)*(theta)-T0, or 2) pert dry pot temp=t
    units: K
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
17,HFX_FORCE,"<class 'netCDF4.Variable'>
float32 HFX_FORCE(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: SCM ideal surface sensible heat flux
    units: W m-2
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
18,LH_FORCE,"<class 'netCDF4.Variable'>
float32 LH_FORCE(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: SCM ideal surface latent heat flux
    units: W m-2
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
19,TSK_FORCE,"<class 'netCDF4.Variable'>
float32 TSK_FORCE(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: SCM ideal surface skin temperature
    units: W m-2
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
20,HFX_FORCE_TEND,"<class 'netCDF4.Variable'>
float32 HFX_FORCE_TEND(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: SCM ideal surface sensible heat flux tendency
    units: W m-2 s-1
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
21,LH_FORCE_TEND,"<class 'netCDF4.Variable'>
float32 LH_FORCE_TEND(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: SCM ideal surface latent heat flux tendency
    units: W m-2 s-1
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
22,TSK_FORCE_TEND,"<class 'netCDF4.Variable'>
float32 TSK_FORCE_TEND(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: SCM ideal surface skin temperature tendency
    units: W m-2 s-1
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
23,MU,"<class 'netCDF4.Variable'>
float32 MU(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: perturbation dry air mass in column
    units: Pa
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
24,MUB,"<class 'netCDF4.Variable'>
float32 MUB(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: base state dry air mass in column
    units: Pa
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
25,NEST_POS,"<class 'netCDF4.Variable'>
float32 NEST_POS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: -
    units: -
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
26,P,"<class 'netCDF4.Variable'>
float32 P(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: perturbation pressure
    units: Pa
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
27,PB,"<class 'netCDF4.Variable'>
float32 PB(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: BASE STATE PRESSURE
    units: Pa
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
28,FNM,"<class 'netCDF4.Variable'>
float32 FNM(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: upper weight for vertical stretching
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
29,FNP,"<class 'netCDF4.Variable'>
float32 FNP(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: lower weight for vertical stretching
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
30,RDNW,"<class 'netCDF4.Variable'>
float32 RDNW(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: inverse d(eta) values between full (w) levels
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
31,RDN,"<class 'netCDF4.Variable'>
float32 RDN(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: inverse d(eta) values between half (mass) levels
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
32,DNW,"<class 'netCDF4.Variable'>
float32 DNW(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: d(eta) values between full (w) levels
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
33,DN,"<class 'netCDF4.Variable'>
float32 DN(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: d(eta) values between half (mass) levels
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
34,CFN,"<class 'netCDF4.Variable'>
float32 CFN(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: extrapolation constant
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
35,CFN1,"<class 'netCDF4.Variable'>
float32 CFN1(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: extrapolation constant
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
36,THIS_IS_AN_IDEAL_RUN,"<class 'netCDF4.Variable'>
int32 THIS_IS_AN_IDEAL_RUN(Time)
    FieldType: 106
    MemoryOrder: 0  
    description: T/F flag: this is an ARW ideal simulation
    units: -
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
37,P_HYD,"<class 'netCDF4.Variable'>
float32 P_HYD(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: hydrostatic pressure
    units: Pa
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
38,Q2,"<class 'netCDF4.Variable'>
float32 Q2(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: QV at 2 M
    units: kg kg-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
39,T2,"<class 'netCDF4.Variable'>
float32 T2(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: TEMP at 2 M
    units: K
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
40,TH2,"<class 'netCDF4.Variable'>
float32 TH2(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: POT TEMP at 2 M
    units: K
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
41,PSFC,"<class 'netCDF4.Variable'>
float32 PSFC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SFC PRESSURE
    units: Pa
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
42,U10,"<class 'netCDF4.Variable'>
float32 U10(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: U at 10 M
    units: m s-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
43,V10,"<class 'netCDF4.Variable'>
float32 V10(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: V at 10 M
    units: m s-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
44,RDX,"<class 'netCDF4.Variable'>
float32 RDX(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: INVERSE X GRID LENGTH
    units: m-1
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
45,RDY,"<class 'netCDF4.Variable'>
float32 RDY(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: INVERSE Y GRID LENGTH
    units: m-1
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
46,AREA2D,"<class 'netCDF4.Variable'>
float32 AREA2D(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Horizontal grid cell area, using dx, dy, and map factors
    units: m2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
47,DX2D,"<class 'netCDF4.Variable'>
float32 DX2D(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Horizontal grid distance: sqrt(area2d)
    units: m
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
48,RESM,"<class 'netCDF4.Variable'>
float32 RESM(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: TIME WEIGHT CONSTANT FOR SMALL STEPS
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
49,ZETATOP,"<class 'netCDF4.Variable'>
float32 ZETATOP(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: ZETA AT MODEL TOP
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
50,CF1,"<class 'netCDF4.Variable'>
float32 CF1(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: 2nd order extrapolation constant
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
51,CF2,"<class 'netCDF4.Variable'>
float32 CF2(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: 2nd order extrapolation constant
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
52,CF3,"<class 'netCDF4.Variable'>
float32 CF3(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: 2nd order extrapolation constant
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
53,ITIMESTEP,"<class 'netCDF4.Variable'>
int32 ITIMESTEP(Time)
    FieldType: 106
    MemoryOrder: 0  
    description: 
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
54,XTIME,"<class 'netCDF4.Variable'>
float32 XTIME(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: minutes since 1990-09-01 00:00:00
    units: minutes since 1990-09-01 00:00:00
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
55,QVAPOR,"<class 'netCDF4.Variable'>
float32 QVAPOR(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: Water vapor mixing ratio
    units: kg kg-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
56,QCLOUD,"<class 'netCDF4.Variable'>
float32 QCLOUD(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: Cloud water mixing ratio
    units: kg kg-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
57,QRAIN,"<class 'netCDF4.Variable'>
float32 QRAIN(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: Rain water mixing ratio
    units: kg kg-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
58,QICE,"<class 'netCDF4.Variable'>
float32 QICE(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: Ice mixing ratio
    units: kg kg-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
59,QSNOW,"<class 'netCDF4.Variable'>
float32 QSNOW(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: Snow mixing ratio
    units: kg kg-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
60,QGRAUP,"<class 'netCDF4.Variable'>
float32 QGRAUP(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: Graupel mixing ratio
    units: kg kg-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
61,SHDMAX,"<class 'netCDF4.Variable'>
float32 SHDMAX(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ANNUAL MAX VEG FRACTION
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
62,SHDMIN,"<class 'netCDF4.Variable'>
float32 SHDMIN(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ANNUAL MIN VEG FRACTION
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
63,SNOALB,"<class 'netCDF4.Variable'>
float32 SNOALB(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ANNUAL MAX SNOW ALBEDO IN FRACTION
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
64,TSLB,"<class 'netCDF4.Variable'>
float32 TSLB(Time, soil_layers_stag, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: SOIL TEMPERATURE
    units: K
    stagger: Z
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 4, 702, 558)
filling off"
65,SMOIS,"<class 'netCDF4.Variable'>
float32 SMOIS(Time, soil_layers_stag, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: SOIL MOISTURE
    units: m3 m-3
    stagger: Z
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 4, 702, 558)
filling off"
66,SH2O,"<class 'netCDF4.Variable'>
float32 SH2O(Time, soil_layers_stag, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: SOIL LIQUID WATER
    units: m3 m-3
    stagger: Z
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 4, 702, 558)
filling off"
67,SMCREL,"<class 'netCDF4.Variable'>
float32 SMCREL(Time, soil_layers_stag, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: RELATIVE SOIL MOISTURE
    units: 
    stagger: Z
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 4, 702, 558)
filling off"
68,SEAICE,"<class 'netCDF4.Variable'>
float32 SEAICE(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SEA ICE FLAG
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
69,XICEM,"<class 'netCDF4.Variable'>
float32 XICEM(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SEA ICE FLAG (PREVIOUS STEP)
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
70,SFROFF,"<class 'netCDF4.Variable'>
float32 SFROFF(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SURFACE RUNOFF
    units: mm
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
71,UDROFF,"<class 'netCDF4.Variable'>
float32 UDROFF(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: UNDERGROUND RUNOFF
    units: mm
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
72,IVGTYP,"<class 'netCDF4.Variable'>
int32 IVGTYP(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: DOMINANT VEGETATION CATEGORY
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
73,ISLTYP,"<class 'netCDF4.Variable'>
int32 ISLTYP(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: DOMINANT SOIL CATEGORY
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
