,VAR_NAME,VAR_DESCR
74,VEGFRA,"<class 'netCDF4.Variable'>
float32 VEGFRA(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: VEGETATION FRACTION
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
75,ACGRDFLX,"<class 'netCDF4.Variable'>
float32 ACGRDFLX(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED GROUND HEAT FLUX
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
76,ACSNOM,"<class 'netCDF4.Variable'>
float32 ACSNOM(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED MELTED SNOW
    units: kg m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
77,CANWAT,"<class 'netCDF4.Variable'>
float32 CANWAT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: CANOPY WATER
    units: kg m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
78,SSTSK,"<class 'netCDF4.Variable'>
float32 SSTSK(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SKIN SEA SURFACE TEMPERATURE
    units: K
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
79,WATER_DEPTH,"<class 'netCDF4.Variable'>
float32 WATER_DEPTH(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: global water depth
    units: m
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
80,COSZEN,"<class 'netCDF4.Variable'>
float32 COSZEN(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: COS of SOLAR ZENITH ANGLE
    units: dimensionless
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
81,LAI,"<class 'netCDF4.Variable'>
float32 LAI(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LEAF AREA INDEX
    units: m-2/m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
82,VAR,"<class 'netCDF4.Variable'>
float32 VAR(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: STANDARD DEVIATION OF SUBGRID-SCALE OROGRAPHY
    units: m
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
83,VARLS,"<class 'netCDF4.Variable'>
float32 VARLS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: STANDARD DEVIATION of 2.5min-resolution topography
    units: m
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
84,CONLS,"<class 'netCDF4.Variable'>
float32 CONLS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC CONVEXITY of 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
85,OA1LS,"<class 'netCDF4.Variable'>
float32 OA1LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in West direction from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
86,OA2LS,"<class 'netCDF4.Variable'>
float32 OA2LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in South direction from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
87,OA3LS,"<class 'netCDF4.Variable'>
float32 OA3LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in South-West direction from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
88,OA4LS,"<class 'netCDF4.Variable'>
float32 OA4LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in North-West direction from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
89,OL1LS,"<class 'netCDF4.Variable'>
float32 OL1LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for Westerly flow from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
90,OL2LS,"<class 'netCDF4.Variable'>
float32 OL2LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for Southerly flow from 2.5min-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
91,OL3LS,"<class 'netCDF4.Variable'>
float32 OL3LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for South-Westerly flow from 2.5min-resolution topog
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
92,OL4LS,"<class 'netCDF4.Variable'>
float32 OL4LS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for North-Westerly flow from 2.5min-resolution topog
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
93,VARSS,"<class 'netCDF4.Variable'>
float32 VARSS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: STANDARD DEVIATION of 30sec-resolution topography
    units: m
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
94,CONSS,"<class 'netCDF4.Variable'>
float32 CONSS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC CONVEXITY of 30sec-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
95,OA1SS,"<class 'netCDF4.Variable'>
float32 OA1SS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in West direction from 30sec-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
96,OA2SS,"<class 'netCDF4.Variable'>
float32 OA2SS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in South direction from 30sec-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
97,OA3SS,"<class 'netCDF4.Variable'>
float32 OA3SS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in South-West direction from 30sec-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
98,OA4SS,"<class 'netCDF4.Variable'>
float32 OA4SS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC ASYMMETRY in North-West direction from 30sec-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
99,OL1SS,"<class 'netCDF4.Variable'>
float32 OL1SS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for Westerly flow from 30sec-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
100,OL2SS,"<class 'netCDF4.Variable'>
float32 OL2SS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for Southerly flow from 30sec-resolution topography
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
101,OL3SS,"<class 'netCDF4.Variable'>
float32 OL3SS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for South-Westerly flow from 30sec-resolution topogr
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
102,OL4SS,"<class 'netCDF4.Variable'>
float32 OL4SS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: OROGRAPHIC EFFECTIVE LENGTH for North-Westerly flow from 30sec-resolution topogr
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
103,MAPFAC_M,"<class 'netCDF4.Variable'>
float32 MAPFAC_M(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Map scale factor on mass grid
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
104,MAPFAC_U,"<class 'netCDF4.Variable'>
float32 MAPFAC_U(Time, south_north, west_east_stag)
    FieldType: 104
    MemoryOrder: XY 
    description: Map scale factor on u-grid
    units: 
    stagger: X
    coordinates: XLONG_U XLAT_U XTIME
unlimited dimensions: Time
current shape = (1, 702, 559)
filling off"
105,MAPFAC_V,"<class 'netCDF4.Variable'>
float32 MAPFAC_V(Time, south_north_stag, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Map scale factor on v-grid
    units: 
    stagger: Y
    coordinates: XLONG_V XLAT_V XTIME
unlimited dimensions: Time
current shape = (1, 703, 558)
filling off"
106,MAPFAC_MX,"<class 'netCDF4.Variable'>
float32 MAPFAC_MX(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Map scale factor on mass grid, x direction
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
107,MAPFAC_MY,"<class 'netCDF4.Variable'>
float32 MAPFAC_MY(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Map scale factor on mass grid, y direction
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
108,MAPFAC_UX,"<class 'netCDF4.Variable'>
float32 MAPFAC_UX(Time, south_north, west_east_stag)
    FieldType: 104
    MemoryOrder: XY 
    description: Map scale factor on u-grid, x direction
    units: 
    stagger: X
    coordinates: XLONG_U XLAT_U XTIME
unlimited dimensions: Time
current shape = (1, 702, 559)
filling off"
109,MAPFAC_UY,"<class 'netCDF4.Variable'>
float32 MAPFAC_UY(Time, south_north, west_east_stag)
    FieldType: 104
    MemoryOrder: XY 
    description: Map scale factor on u-grid, y direction
    units: 
    stagger: X
    coordinates: XLONG_U XLAT_U XTIME
unlimited dimensions: Time
current shape = (1, 702, 559)
filling off"
110,MAPFAC_VX,"<class 'netCDF4.Variable'>
float32 MAPFAC_VX(Time, south_north_stag, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Map scale factor on v-grid, x direction
    units: 
    stagger: Y
    coordinates: XLONG_V XLAT_V XTIME
unlimited dimensions: Time
current shape = (1, 703, 558)
filling off"
111,MF_VX_INV,"<class 'netCDF4.Variable'>
float32 MF_VX_INV(Time, south_north_stag, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Inverse map scale factor on v-grid, x direction
    units: 
    stagger: Y
    coordinates: XLONG_V XLAT_V XTIME
unlimited dimensions: Time
current shape = (1, 703, 558)
filling off"
112,MAPFAC_VY,"<class 'netCDF4.Variable'>
float32 MAPFAC_VY(Time, south_north_stag, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Map scale factor on v-grid, y direction
    units: 
    stagger: Y
    coordinates: XLONG_V XLAT_V XTIME
unlimited dimensions: Time
current shape = (1, 703, 558)
filling off"
113,F,"<class 'netCDF4.Variable'>
float32 F(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Coriolis sine latitude term
    units: s-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
114,E,"<class 'netCDF4.Variable'>
float32 E(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Coriolis cosine latitude term
    units: s-1
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
115,SINALPHA,"<class 'netCDF4.Variable'>
float32 SINALPHA(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Local sine of map rotation
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
116,COSALPHA,"<class 'netCDF4.Variable'>
float32 COSALPHA(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Local cosine of map rotation
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
117,HGT,"<class 'netCDF4.Variable'>
float32 HGT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: Terrain Height
    units: m
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
118,TSK,"<class 'netCDF4.Variable'>
float32 TSK(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SURFACE SKIN TEMPERATURE
    units: K
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
119,P_TOP,"<class 'netCDF4.Variable'>
float32 P_TOP(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: PRESSURE TOP OF THE MODEL
    units: Pa
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
120,GOT_VAR_SSO,"<class 'netCDF4.Variable'>
int32 GOT_VAR_SSO(Time)
    FieldType: 106
    MemoryOrder: 0  
    description: whether VAR_SSO was included in WPS output (beginning V3.4)
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
121,T00,"<class 'netCDF4.Variable'>
float32 T00(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: BASE STATE TEMPERATURE
    units: K
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
122,P00,"<class 'netCDF4.Variable'>
float32 P00(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: BASE STATE PRESSURE
    units: Pa
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
123,TLP,"<class 'netCDF4.Variable'>
float32 TLP(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: BASE STATE LAPSE RATE
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
124,TISO,"<class 'netCDF4.Variable'>
float32 TISO(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: TEMP AT WHICH THE BASE T TURNS CONST
    units: K
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
125,TLP_STRAT,"<class 'netCDF4.Variable'>
float32 TLP_STRAT(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: BASE STATE LAPSE RATE (DT/D(LN(P)) IN STRATOSPHERE
    units: K
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
126,P_STRAT,"<class 'netCDF4.Variable'>
float32 P_STRAT(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: BASE STATE PRESSURE AT BOTTOM OF STRATOSPHERE
    units: Pa
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
127,MAX_MSFTX,"<class 'netCDF4.Variable'>
float32 MAX_MSFTX(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: Max map factor in domain
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
128,MAX_MSFTY,"<class 'netCDF4.Variable'>
float32 MAX_MSFTY(Time)
    FieldType: 104
    MemoryOrder: 0  
    description: Max map factor in domain
    units: 
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
129,CLDFRA,"<class 'netCDF4.Variable'>
float32 CLDFRA(Time, bottom_top, south_north, west_east)
    FieldType: 104
    MemoryOrder: XYZ
    description: CLOUD FRACTION
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 50, 702, 558)
filling off"
130,GLW,"<class 'netCDF4.Variable'>
float32 GLW(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: DOWNWARD LONG WAVE FLUX AT GROUND SURFACE
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
131,SWNORM,"<class 'netCDF4.Variable'>
float32 SWNORM(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: NORMAL SHORT WAVE FLUX AT GROUND SURFACE (SLOPE-DEPENDENT)
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
132,ACSWUPT,"<class 'netCDF4.Variable'>
float32 ACSWUPT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWELLING SHORTWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
133,ACSWUPTC,"<class 'netCDF4.Variable'>
float32 ACSWUPTC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
134,ACSWDNT,"<class 'netCDF4.Variable'>
float32 ACSWDNT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
135,ACSWDNTC,"<class 'netCDF4.Variable'>
float32 ACSWDNTC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
136,ACSWUPB,"<class 'netCDF4.Variable'>
float32 ACSWUPB(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWELLING SHORTWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
137,ACSWUPBC,"<class 'netCDF4.Variable'>
float32 ACSWUPBC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
138,ACSWDNB,"<class 'netCDF4.Variable'>
float32 ACSWDNB(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED DOWNWELLING SHORTWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
139,ACSWDNBC,"<class 'netCDF4.Variable'>
float32 ACSWDNBC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
