,VAR_NAME,VAR_DESCR
140,ACLWUPT,"<class 'netCDF4.Variable'>
float32 ACLWUPT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWELLING LONGWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
141,ACLWUPTC,"<class 'netCDF4.Variable'>
float32 ACLWUPTC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
142,ACLWDNT,"<class 'netCDF4.Variable'>
float32 ACLWDNT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED DOWNWELLING LONGWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
143,ACLWDNTC,"<class 'netCDF4.Variable'>
float32 ACLWDNTC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
144,ACLWUPB,"<class 'netCDF4.Variable'>
float32 ACLWUPB(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWELLING LONGWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
145,ACLWUPBC,"<class 'netCDF4.Variable'>
float32 ACLWUPBC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
146,ACLWDNB,"<class 'netCDF4.Variable'>
float32 ACLWDNB(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED DOWNWELLING LONGWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
147,ACLWDNBC,"<class 'netCDF4.Variable'>
float32 ACLWDNBC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
148,I_ACSWUPT,"<class 'netCDF4.Variable'>
int32 I_ACSWUPT(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR UPWELLING SHORTWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
149,I_ACSWUPTC,"<class 'netCDF4.Variable'>
int32 I_ACSWUPTC(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
150,I_ACSWDNT,"<class 'netCDF4.Variable'>
int32 I_ACSWDNT(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR DOWNWELLING SHORTWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
151,I_ACSWDNTC,"<class 'netCDF4.Variable'>
int32 I_ACSWDNTC(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
152,I_ACSWUPB,"<class 'netCDF4.Variable'>
int32 I_ACSWUPB(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR UPWELLING SHORTWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
153,I_ACSWUPBC,"<class 'netCDF4.Variable'>
int32 I_ACSWUPBC(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
154,I_ACSWDNB,"<class 'netCDF4.Variable'>
int32 I_ACSWDNB(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR DOWNWELLING SHORTWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
155,I_ACSWDNBC,"<class 'netCDF4.Variable'>
int32 I_ACSWDNBC(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR DOWNWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
156,I_ACLWUPT,"<class 'netCDF4.Variable'>
int32 I_ACLWUPT(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR UPWELLING LONGWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
157,I_ACLWUPTC,"<class 'netCDF4.Variable'>
int32 I_ACLWUPTC(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
158,I_ACLWDNT,"<class 'netCDF4.Variable'>
int32 I_ACLWDNT(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR DOWNWELLING LONGWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
159,I_ACLWDNTC,"<class 'netCDF4.Variable'>
int32 I_ACLWDNTC(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR DOWNWELLING CLEAR SKY LONGWAVE FLUX AT TOP
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
160,I_ACLWUPB,"<class 'netCDF4.Variable'>
int32 I_ACLWUPB(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR UPWELLING LONGWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
161,I_ACLWUPBC,"<class 'netCDF4.Variable'>
int32 I_ACLWUPBC(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
162,I_ACLWDNB,"<class 'netCDF4.Variable'>
int32 I_ACLWDNB(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR DOWNWELLING LONGWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
163,I_ACLWDNBC,"<class 'netCDF4.Variable'>
int32 I_ACLWDNBC(Time, south_north, west_east)
    FieldType: 106
    MemoryOrder: XY 
    description: BUCKET FOR DOWNWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
164,SWUPT,"<class 'netCDF4.Variable'>
float32 SWUPT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: INSTANTANEOUS UPWELLING SHORTWAVE FLUX AT TOP
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
165,SWUPTC,"<class 'netCDF4.Variable'>
float32 SWUPTC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: INSTANTANEOUS UPWELLING CLEAR SKY SHORTWAVE FLUX AT TOP
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
166,SWUPB,"<class 'netCDF4.Variable'>
float32 SWUPB(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: INSTANTANEOUS UPWELLING SHORTWAVE FLUX AT BOTTOM
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
167,SWUPBC,"<class 'netCDF4.Variable'>
float32 SWUPBC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: INSTANTANEOUS UPWELLING CLEAR SKY SHORTWAVE FLUX AT BOTTOM
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
168,LWUPT,"<class 'netCDF4.Variable'>
float32 LWUPT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: INSTANTANEOUS UPWELLING LONGWAVE FLUX AT TOP
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
169,LWUPTC,"<class 'netCDF4.Variable'>
float32 LWUPTC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: INSTANTANEOUS UPWELLING CLEAR SKY LONGWAVE FLUX AT TOP
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
170,LWUPB,"<class 'netCDF4.Variable'>
float32 LWUPB(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: INSTANTANEOUS UPWELLING LONGWAVE FLUX AT BOTTOM
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
171,LWUPBC,"<class 'netCDF4.Variable'>
float32 LWUPBC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: INSTANTANEOUS UPWELLING CLEAR SKY LONGWAVE FLUX AT BOTTOM
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
172,OLR,"<class 'netCDF4.Variable'>
float32 OLR(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: TOA OUTGOING LONG WAVE
    units: W m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
173,XLAT_U,"<class 'netCDF4.Variable'>
float32 XLAT_U(Time, south_north, west_east_stag)
    FieldType: 104
    MemoryOrder: XY 
    description: LATITUDE, SOUTH IS NEGATIVE
    units: degree_north
    stagger: X
    coordinates: XLONG_U XLAT_U
unlimited dimensions: Time
current shape = (1, 702, 559)
filling off"
174,XLONG_U,"<class 'netCDF4.Variable'>
float32 XLONG_U(Time, south_north, west_east_stag)
    FieldType: 104
    MemoryOrder: XY 
    description: LONGITUDE, WEST IS NEGATIVE
    units: degree_east
    stagger: X
    coordinates: XLONG_U XLAT_U
unlimited dimensions: Time
current shape = (1, 702, 559)
filling off"
175,XLAT_V,"<class 'netCDF4.Variable'>
float32 XLAT_V(Time, south_north_stag, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LATITUDE, SOUTH IS NEGATIVE
    units: degree_north
    stagger: Y
    coordinates: XLONG_V XLAT_V
unlimited dimensions: Time
current shape = (1, 703, 558)
filling off"
176,XLONG_V,"<class 'netCDF4.Variable'>
float32 XLONG_V(Time, south_north_stag, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LONGITUDE, WEST IS NEGATIVE
    units: degree_east
    stagger: Y
    coordinates: XLONG_V XLAT_V
unlimited dimensions: Time
current shape = (1, 703, 558)
filling off"
177,ALBEDO,"<class 'netCDF4.Variable'>
float32 ALBEDO(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ALBEDO
    units: -
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
178,CLAT,"<class 'netCDF4.Variable'>
float32 CLAT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: COMPUTATIONAL GRID LATITUDE, SOUTH IS NEGATIVE
    units: degree_north
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
179,ALBBCK,"<class 'netCDF4.Variable'>
float32 ALBBCK(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: BACKGROUND ALBEDO
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
180,EMISS,"<class 'netCDF4.Variable'>
float32 EMISS(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SURFACE EMISSIVITY
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
181,NOAHRES,"<class 'netCDF4.Variable'>
float32 NOAHRES(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: RESIDUAL OF THE NOAH SURFACE ENERGY BUDGET
    units: W m{-2}
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
182,TMN,"<class 'netCDF4.Variable'>
float32 TMN(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SOIL TEMPERATURE AT LOWER BOUNDARY
    units: K
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
183,XLAND,"<class 'netCDF4.Variable'>
float32 XLAND(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LAND MASK (1 FOR LAND, 2 FOR WATER)
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
184,ACHFX,"<class 'netCDF4.Variable'>
float32 ACHFX(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWARD HEAT FLUX AT THE SURFACE
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
185,ACLHF,"<class 'netCDF4.Variable'>
float32 ACLHF(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: ACCUMULATED UPWARD LATENT HEAT FLUX AT THE SURFACE
    units: J m-2
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
186,SR,"<class 'netCDF4.Variable'>
float32 SR(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: fraction of frozen precipitation
    units: -
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
187,SAVE_TOPO_FROM_REAL,"<class 'netCDF4.Variable'>
int32 SAVE_TOPO_FROM_REAL(Time)
    FieldType: 106
    MemoryOrder: 0  
    description: 1=original topo from real/0=topo modified by WRF
    units: flag
    stagger: 
unlimited dimensions: Time
current shape = (1,)
filling off"
188,ISEEDARR_SPPT,"<class 'netCDF4.Variable'>
int32 ISEEDARR_SPPT(Time, seed_dim_stag)
    FieldType: 106
    MemoryOrder: Z  
    description: Array to hold seed for restart, SPPT
    units: 
    stagger: Z
unlimited dimensions: Time
current shape = (1, 2)
filling off"
189,ISEEDARR_SKEBS,"<class 'netCDF4.Variable'>
int32 ISEEDARR_SKEBS(Time, seed_dim_stag)
    FieldType: 106
    MemoryOrder: Z  
    description: Array to hold seed for restart, SKEBS
    units: 
    stagger: Z
unlimited dimensions: Time
current shape = (1, 2)
filling off"
190,ISEEDARR_RAND_PERTURB,"<class 'netCDF4.Variable'>
int32 ISEEDARR_RAND_PERTURB(Time, seed_dim_stag)
    FieldType: 106
    MemoryOrder: Z  
    description: Array to hold seed for restart, RAND_PERT
    units: 
    stagger: Z
unlimited dimensions: Time
current shape = (1, 2)
filling off"
191,ISEEDARRAY_SPP_CONV,"<class 'netCDF4.Variable'>
int32 ISEEDARRAY_SPP_CONV(Time, seed_dim_stag)
    FieldType: 106
    MemoryOrder: Z  
    description: Array to hold seed for restart, RAND_PERT2
    units: 
    stagger: Z
unlimited dimensions: Time
current shape = (1, 2)
filling off"
192,ISEEDARRAY_SPP_PBL,"<class 'netCDF4.Variable'>
int32 ISEEDARRAY_SPP_PBL(Time, seed_dim_stag)
    FieldType: 106
    MemoryOrder: Z  
    description: Array to hold seed for restart, RAND_PERT3
    units: 
    stagger: Z
unlimited dimensions: Time
current shape = (1, 2)
filling off"
193,ISEEDARRAY_SPP_LSM,"<class 'netCDF4.Variable'>
int32 ISEEDARRAY_SPP_LSM(Time, seed_dim_stag)
    FieldType: 106
    MemoryOrder: Z  
    description: Array to hold seed for restart, RAND_PERT4
    units: 
    stagger: Z
unlimited dimensions: Time
current shape = (1, 2)
filling off"
194,C1H,"<class 'netCDF4.Variable'>
float32 C1H(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: half levels, c1h = d bf / d eta, using znw
    units: Dimensionless
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
195,C2H,"<class 'netCDF4.Variable'>
float32 C2H(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: half levels, c2h = (1-c1h)*(p0-pt)
    units: Pa
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
196,C1F,"<class 'netCDF4.Variable'>
float32 C1F(Time, bottom_top_stag)
    FieldType: 104
    MemoryOrder: Z  
    description: full levels, c1f = d bf / d eta, using znu
    units: Dimensionless
    stagger: Z
unlimited dimensions: Time
current shape = (1, 51)
filling off"
197,C2F,"<class 'netCDF4.Variable'>
float32 C2F(Time, bottom_top_stag)
    FieldType: 104
    MemoryOrder: Z  
    description: full levels, c2f = (1-c1f)*(p0-pt)
    units: Pa
    stagger: Z
unlimited dimensions: Time
current shape = (1, 51)
filling off"
198,C3H,"<class 'netCDF4.Variable'>
float32 C3H(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: half levels, c3h = bh
    units: Dimensionless
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
199,C4H,"<class 'netCDF4.Variable'>
float32 C4H(Time, bottom_top)
    FieldType: 104
    MemoryOrder: Z  
    description: half levels, c4h = (eta-bh)*(p0-pt), using znu
    units: Pa
    stagger: 
unlimited dimensions: Time
current shape = (1, 50)
filling off"
200,C3F,"<class 'netCDF4.Variable'>
float32 C3F(Time, bottom_top_stag)
    FieldType: 104
    MemoryOrder: Z  
    description: full levels, c3f = bf
    units: Dimensionless
    stagger: Z
unlimited dimensions: Time
current shape = (1, 51)
filling off"
201,C4F,"<class 'netCDF4.Variable'>
float32 C4F(Time, bottom_top_stag)
    FieldType: 104
    MemoryOrder: Z  
    description: full levels, c4f = (eta-bf)*(p0-pt), using znw
    units: Pa
    stagger: Z
unlimited dimensions: Time
current shape = (1, 51)
filling off"
202,PCB,"<class 'netCDF4.Variable'>
float32 PCB(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: base state dry air mass in column
    units: Pa
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
203,PC,"<class 'netCDF4.Variable'>
float32 PC(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: perturbation dry air mass in column
    units: Pa
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
204,LANDMASK,"<class 'netCDF4.Variable'>
float32 LANDMASK(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LAND MASK (1 FOR LAND, 0 FOR WATER)
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
205,LAKEMASK,"<class 'netCDF4.Variable'>
float32 LAKEMASK(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: LAKE MASK (1 FOR LAKE, 0 FOR NON-LAKE)
    units: 
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
206,SST,"<class 'netCDF4.Variable'>
float32 SST(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SEA SURFACE TEMPERATURE
    units: K
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
207,SST_INPUT,"<class 'netCDF4.Variable'>
float32 SST_INPUT(Time, south_north, west_east)
    FieldType: 104
    MemoryOrder: XY 
    description: SEA SURFACE TEMPERATURE FROM WRFLOWINPUT FILE
    units: K
    stagger: 
    coordinates: XLONG XLAT XTIME
unlimited dimensions: Time
current shape = (1, 702, 558)
filling off"
